IS_OBSERVED,SOURCE,TARGET,TYPE,EVENT_INTERVAL_ID,EVENT,INTEGER_TIME,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,num.actors,individual.activity,dyadic.activity,closure,female,diff.female
1,|MY|NP|MB|,,chapter,1.1.1,109,108,109,108,2,3,0,0,0,1,2
0,|CL|GR|MT|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|MA|BB|CV|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|PG|GT|CM|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|TH|MM|HL|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|TH|LL|SS|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|CC|ME|TG|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|FT|FE|BU|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|BB|PL|CH|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|MT|JV|GA|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|EN|FN|LI|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|BM|MT|BL|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|MY|FT|BJ|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|FA|DA|MV|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|CN|LL|AZ|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|NP|LL|FT|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|MT|MG|QU|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|FE|HL|GE|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|VI|MY|EP|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|GT|BZ|HL|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|JD|MV|GA|,,,,111,110,111,110,2,3,0,0,0,1,2
1,|MY|ME|MB|,,chapter,1.1.2,112,111,112,111,3,3,2,1,2,2,2
0,|SC|MC|LI|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|JV|CO|PO|,,,,114,113,114,113,3,3,0,0,0,2,2
0,|JO|AZ|BR|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|GE|JU|GI|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|JU|FE|EP|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|GE|SN|SS|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|CR|FF|BL|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|SS|BZ|QU|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|JU|EN|TM|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|MO|JD|TH|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|GE|DA|MI|,,,,114,113,114,113,3,3,0,0,0,2,2
0,|GG|ME|JA|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|PL|SP|GI|,,,,114,113,114,113,3,3,0,0,0,2,2
0,|BZ|BB|GA|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|HL|GI|JU|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|BT|SN|GA|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|TH|MT|BZ|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|MR|MC|JU|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|IS|MY|MB|,,,,114,113,114,113,3,3,2,1,2,1,2
0,|FA|IS|MB|,,,,114,113,114,113,3,3,1,0,0,1,2
1,|MY|,,chapter,1.1.3,115,114,115,114,4,1,2,0,0,0,0
0,|SC|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|MP|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|MR|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|FN|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|JA|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|BJ|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|MT|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|ME|,,,,115,114,115,114,4,1,1,0,0,1,0
0,|MG|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|FV|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|PG|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|AZ|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|BT|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|GP|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|DA|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|HL|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|JL|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|FF|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|BS|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|FE|,,,,115,114,115,114,4,1,0,0,0,0,0
1,|MY|ME|CL|GE|MC|MB|,,chapter,1.1.4,116,115,116,115,5,6,6,4,8,3,9
0,|TH|BT|CV|XB|SC|MB|,,,,121,120,121,120,5,6,2,0,0,2,8
0,|PL|GA|JO|SP|MT|FT|,,,,121,120,121,120,5,6,0,0,0,3,9
0,|BB|BL|TH|MO|LI|BJ|,,,,121,120,121,120,5,6,0,0,0,0,0
0,|MM|FA|LP|MG|ZE|CV|,,,,121,120,121,120,5,6,0,0,0,2,8
0,|LI|MM|JA|BA|JO|GP|,,,,121,120,121,120,5,6,0,0,0,0,0
0,|BA|PG|MP|VI|MC|XB|,,,,121,120,121,120,5,6,0,0,0,2,8
0,|PO|CC|BL|XA|JL|EP|,,,,121,120,121,120,5,6,0,0,0,2,8
0,|EN|JD|MM|JV|ME|SN|,,,,121,120,121,120,5,6,1,0,0,1,5
0,|TM|QU|CV|BU|PG|FT|,,,,121,120,121,120,5,6,0,0,0,2,8
0,|TM|JU|FF|CN|JP|GG|,,,,121,120,121,120,5,6,0,0,0,1,5
