IS_OBSERVED,SOURCE,TARGET,TIME,TYPE,EVENT,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,sender_activity,receiver_popularity,repetition,reciprocity,is.ICRs,is.ICRr,closure
1,32,16,2,call,42,3,2,2,0,0,0,1,1,0,0
0,22,32,2,,42,3,2,2,0,1,0,0,0,1,0
0,24,16,2,,42,3,2,2,0,0,0,0,0,0,0
0,34,16,2,,42,3,2,2,0,0,0,0,0,0,0
0,18,36,2,,42,3,2,2,0,0,0,0,0,0,0
0,18,25,2,,42,3,2,2,0,0,0,0,0,0,0
1,16,32,3,call,43,4,3,3,1,1,1,1,0,1,0
0,14,26,3,,43,4,3,3,0,0,0,0,1,0,0
0,15,5,3,,43,4,3,3,0,0,0,0,0,0,0
0,5,7,3,,43,4,3,3,0,0,0,0,0,0,0
0,32,13,3,,43,4,3,3,1,0,0,0,1,1,0
0,17,35,3,,43,4,3,3,0,0,0,0,0,0,0
1,16,32,4,call,44,5,4,4,2,2,2,1,0,1,0
0,14,17,4,,44,5,4,4,0,0,0,0,1,0,0
0,24,7,4,,44,5,4,4,0,0,0,0,0,0,0
0,6,22,4,,44,5,4,4,0,0,0,0,0,0,0
0,5,2,4,,44,5,4,4,0,0,0,0,0,0,0
1,11,32,5,call,45,6,5,5,0,3,0,0,0,1,0
0,1,22,5,,45,6,5,5,0,0,0,0,0,0,0
0,1,16,5,,45,6,5,5,0,1,0,0,0,0,0
0,12,28,5,,45,6,5,5,0,0,0,0,0,0,0
0,28,23,5,,45,6,5,5,0,0,0,0,0,0,0
0,25,23,5,,45,6,5,5,0,0,0,0,0,0,0
1,11,32,6,call,46,7,6,6,1,4,1,0,0,1,0
0,1,11,6,,46,7,6,6,0,0,0,0,0,0,0
0,24,37,6,,46,7,6,6,0,0,0,0,0,0,0
0,37,7,6,,46,7,6,6,0,0,0,0,0,0,0
0,28,13,6,,46,7,6,6,0,0,0,0,0,1,0
0,1,21,6,,46,7,6,6,0,0,0,0,0,0,0
1,11,32,7,call,47,8,7,7,2,5,2,0,0,1,0
0,22,32,7,,47,8,7,7,0,5,0,0,0,1,0
0,2,4,7,,47,8,7,7,0,0,0,0,0,0,0
0,5,19,7,,47,8,7,7,0,0,0,0,0,0,0
0,30,24,7,,47,8,7,7,0,0,0,0,0,0,0
0,21,27,7,,47,8,7,7,0,0,0,0,0,0,0
1,36,32,8,call,48,9,8,8,0,6,0,0,0,1,0
0,32,23,8,,48,9,8,8,1,0,0,0,1,0,0
0,15,20,8,,48,9,8,8,0,0,0,0,0,0,0
0,9,28,8,,48,9,8,8,0,0,0,0,0,0,0
0,18,15,8,,48,9,8,8,0,0,0,0,0,0,0
0,24,33,8,,48,9,8,8,0,0,0,0,0,0,0
1,8,32,9,call,49,10,9,9,0,7,0,0,0,1,0
0,11,25,9,,49,10,9,9,3,0,0,0,0,0,0
0,4,7,9,,49,10,9,9,0,0,0,0,0,0,0
0,10,37,9,,49,10,9,9,0,0,0,0,0,0,0
0,30,24,9,,49,10,9,9,0,0,0,0,0,0,0
0,15,2,9,,49,10,9,9,0,0,0,0,0,0,0
1,8,32,10,call,50,11,10,10,1,8,1,0,0,1,0
0,8,18,10,,50,11,10,10,1,0,0,0,0,0,0
0,1,35,10,,50,11,10,10,0,0,0,0,0,0,0
0,30,29,10,,50,11,10,10,0,0,0,0,0,0,0
0,16,22,10,,50,11,10,10,3,0,0,0,0,0,0
0,2,31,10,,50,11,10,10,0,0,0,0,0,0,0
1,32,8,11,call,51,12,11,11,1,0,0,2,1,0,0
0,4,37,11,,51,12,11,11,0,0,0,0,0,0,0
0,24,15,11,,51,12,11,11,0,0,0,0,0,0,0
0,6,20,11,,51,12,11,11,0,0,0,0,0,0,0
0,37,32,11,,51,12,11,11,0,9,0,0,0,1,0
0,28,24,11,,51,12,11,11,0,0,0,0,0,0,0
1,16,32,12,call,52,13,12,12,3,9,3,1,0,1,0
0,10,36,12,,52,13,12,12,0,0,0,0,0,0,0
0,31,26,12,,52,13,12,12,0,0,0,0,0,0,0
0,9,12,12,,52,13,12,12,0,0,0,0,0,0,0
0,6,20,12,,52,13,12,12,0,0,0,0,0,0,0
0,14,30,12,,52,13,12,12,0,0,0,0,1,0,0
1,8,32,13,call,53,14,13,13,2,10,2,1,0,1,0
0,5,4,13,,53,14,13,13,0,0,0,0,0,0,0
0,32,26,13,,53,14,13,13,2,0,0,0,1,0,0
0,9,31,13,,53,14,13,13,0,0,0,0,0,0,0
0,34,7,13,,53,14,13,13,0,0,0,0,0,0,0
0,33,20,13,,53,14,13,13,0,0,0,0,0,0,0
1,26,32,14,call,54,15,14,14,0,11,0,0,0,1,0
0,34,11,14,,54,15,14,14,0,0,0,0,0,0,0
0,19,18,14,,54,15,14,14,0,0,0,0,0,0,0
0,5,9,14,,54,15,14,14,0,0,0,0,0,0,0
0,20,29,14,,54,15,14,14,0,0,0,0,0,0,0
0,9,25,14,,54,15,14,14,0,0,0,0,0,0,0
1,32,26,15,call,55,16,15,15,2,0,0,1,1,0,0
0,23,34,15,,55,16,15,15,0,0,0,0,0,0,0
0,10,5,15,,55,16,15,15,0,0,0,0,0,0,0
0,9,11,15,,55,16,15,15,0,0,0,0,0,0,0
0,1,9,15,,55,16,15,15,0,0,0,0,0,0,0
0,24,21,15,,55,16,15,15,0,0,0,0,0,0,0
1,26,32,16,call,56,17,16,16,1,12,1,1,0,1,0
0,2,12,16,,56,17,16,16,0,0,0,0,0,0,0
0,2,4,16,,56,17,16,16,0,0,0,0,0,0,0
0,18,31,16,,56,17,16,16,0,0,0,0,0,0,0
0,20,29,16,,56,17,16,16,0,0,0,0,0,0,0
0,18,3,16,,56,17,16,16,0,0,0,0,0,0,0
1,32,26,17,call,57,18,17,17,3,1,1,2,1,0,0
0,22,16,17,,57,18,17,17,0,1,0,0,0,0,0
0,33,5,17,,57,18,17,17,0,0,0,0,0,0,0
0,22,19,17,,57,18,17,17,0,0,0,0,0,0,0
0,19,12,17,,57,18,17,17,0,0,0,0,0,0,0
0,5,21,17,,57,18,17,17,0,0,0,0,0,0,0
1,26,32,18,call,58,19,18,18,2,13,2,2,0,1,0
0,18,30,18,,58,19,18,18,0,0,0,0,0,0,0
0,19,12,18,,58,19,18,18,0,0,0,0,0,0,0
0,7,14,18,,58,19,18,18,0,0,0,0,0,1,0
0,27,2,18,,58,19,18,18,0,0,0,0,0,0,0
1,32,26,19,call,59,20,19,19,4,2,2,3,1,0,0
0,24,18,19,,59,20,19,19,0,0,0,0,0,0,0
0,2,7,19,,59,20,19,19,0,0,0,0,0,0,0
0,34,29,19,,59,20,19,19,0,0,0,0,0,0,0
0,16,1,19,,59,20,19,19,4,0,0,0,0,0,0
0,18,4,19,,59,20,19,19,0,0,0,0,0,0,0
1,16,32,20,call,60,21,20,20,4,14,4,1,0,1,0
0,15,16,20,,60,21,20,20,0,1,0,0,0,0,0
0,32,13,20,,60,21,20,20,5,0,0,0,1,1,0
0,9,24,20,,60,21,20,20,0,0,0,0,0,0,0
0,9,14,20,,60,21,20,20,0,0,0,0,0,1,0
0,26,20,20,,60,21,20,20,3,0,0,0,0,0,0
1,16,32,21,call,61,22,21,21,5,15,5,1,0,1,0
0,32,21,21,,61,22,21,21,5,0,0,0,1,0,0
0,32,24,21,,61,22,21,21,5,0,0,0,1,0,0
0,14,30,21,,61,22,21,21,0,0,0,0,1,0,0
0,19,3,21,,61,22,21,21,0,0,0,0,0,0,0
1,27,32,22,call,62,23,22,22,0,16,0,0,0,1,0
0,19,18,22,,62,23,22,22,0,0,0,0,0,0,0
0,3,29,22,,62,23,22,22,0,0,0,0,0,0,0
0,1,27,22,,62,23,22,22,0,0,0,0,0,0,0
0,31,36,22,,62,23,22,22,0,0,0,0,0,0,0
0,21,37,22,,62,23,22,22,0,0,0,0,0,0,0
1,20,32,23,call,63,24,23,23,0,17,0,0,0,1,0
0,34,23,23,,63,24,23,23,0,0,0,0,0,0,0
0,21,3,23,,63,24,23,23,0,0,0,0,0,0,0
0,36,9,23,,63,24,23,23,1,0,0,0,0,0,0
0,11,18,23,,63,24,23,23,3,0,0,0,0,0,0
0,2,32,23,,63,24,23,23,0,17,0,0,0,1,0
1,32,20,24,call,64,25,24,24,5,0,0,1,1,0,0
0,36,37,24,,64,25,24,24,1,0,0,0,0,0,0
0,22,24,24,,64,25,24,24,0,0,0,0,0,0,0
0,10,14,24,,64,25,24,24,0,0,0,0,0,1,0
0,1,8,24,,64,25,24,24,0,1,0,0,0,0,0
0,13,20,24,,64,25,24,24,0,0,0,0,1,0,0
1,20,32,25,call,65,26,25,25,1,18,1,1,0,1,0
0,35,37,25,,65,26,25,25,0,0,0,0,0,0,0
0,20,3,25,,65,26,25,25,1,0,0,0,0,0,0
0,11,28,25,,65,26,25,25,3,0,0,0,0,0,0
0,21,9,25,,65,26,25,25,0,0,0,0,0,0,0
0,36,22,25,,65,26,25,25,1,0,0,0,0,0,0
1,32,20,26,call,66,27,26,26,6,1,1,2,1,0,0
0,28,27,26,,66,27,26,26,0,0,0,0,0,0,0
0,2,12,26,,66,27,26,26,0,0,0,0,0,0,0
0,26,37,26,,66,27,26,26,3,0,0,0,0,0,0
0,13,6,26,,66,27,26,26,0,0,0,0,1,0,0
0,8,30,26,,66,27,26,26,3,0,0,0,0,0,0
1,32,16,27,call,67,28,27,27,7,1,1,6,1,0,0
0,15,14,27,,67,28,27,27,0,0,0,0,0,1,0
0,21,18,27,,67,28,27,27,0,0,0,0,0,0,0
0,32,7,27,,67,28,27,27,7,0,0,0,1,0,0
0,17,10,27,,67,28,27,27,0,0,0,0,0,0,0
0,5,32,27,,67,28,27,27,0,19,0,0,0,1,0
1,16,32,28,call,68,29,28,28,6,19,6,2,0,1,0
0,12,6,28,,68,29,28,28,0,0,0,0,0,0,0
0,9,35,28,,68,29,28,28,0,0,0,0,0,0,0
0,28,23,28,,68,29,28,28,0,0,0,0,0,0,0
0,30,19,28,,68,29,28,28,0,0,0,0,0,0,0
0,4,34,28,,68,29,28,28,0,0,0,0,0,0,0
1,32,16,29,call,69,30,29,29,8,2,2,7,1,0,0
0,36,16,29,,69,30,29,29,1,2,0,0,0,0,7
0,2,18,29,,69,30,29,29,0,0,0,0,0,0,0
0,6,31,29,,69,30,29,29,0,0,0,0,0,0,0
0,15,23,29,,69,30,29,29,0,0,0,0,0,0,0
0,24,33,29,,69,30,29,29,0,0,0,0,0,0,0
1,32,16,30,call,70,31,30,30,9,3,3,7,1,0,0
0,18,17,30,,70,31,30,30,0,0,0,0,0,0,0
0,35,2,30,,70,31,30,30,0,0,0,0,0,0,0
0,21,33,30,,70,31,30,30,0,0,0,0,0,0,0
0,32,4,30,,70,31,30,30,9,0,0,0,1,0,0
0,25,22,30,,70,31,30,30,0,0,0,0,0,0,0
1,16,32,31,call,71,32,31,31,7,20,7,4,0,1,0
0,37,3,31,,71,32,31,31,0,0,0,0,0,0,0
0,10,32,31,,71,32,31,31,0,20,0,0,0,1,0
0,4,17,31,,71,32,31,31,0,0,0,0,0,0,0
0,10,24,31,,71,32,31,31,0,0,0,0,0,0,0
0,10,4,31,,71,32,31,31,0,0,0,0,0,0,0
1,32,22,32,call,72,33,32,32,10,0,0,0,1,0,0
0,17,16,32,,72,33,32,32,0,4,0,0,0,0,0
0,21,20,32,,72,33,32,32,0,2,0,0,0,0,0
0,32,34,32,,72,33,32,32,10,0,0,0,1,0,0
0,35,27,32,,72,33,32,32,0,0,0,0,0,0,0
0,17,3,32,,72,33,32,32,0,0,0,0,0,0,0
1,3,32,33,call,73,34,33,33,0,21,0,0,0,1,0
0,25,2,33,,73,34,33,33,0,0,0,0,0,0,0
0,37,28,33,,73,34,33,33,0,0,0,0,0,0,0
0,7,20,33,,73,34,33,33,0,2,0,0,0,0,0
0,27,21,33,,73,34,33,33,1,0,0,0,0,0,0
0,7,2,33,,73,34,33,33,0,0,0,0,0,0,0
1,32,3,34,call,74,35,34,34,11,0,0,1,1,0,0
0,16,5,34,,74,35,34,34,8,0,0,0,0,0,0
0,20,27,34,,74,35,34,34,2,0,0,0,0,0,2
