IS_OBSERVED,SOURCE,TARGET,TIME,TYPE,EVENT,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,sender_activity,receiver_popularity,repetition,reciprocity,is.ICRs,is.ICRr,closure
1,32,16,2,call,42,3,2,2,0,0,0,1,1,0,0
0,34,35,2,,42,3,2,2,0,0,0,0,0,0,0
0,14,37,2,,42,3,2,2,0,0,0,0,1,0,0
0,13,14,2,,42,3,2,2,0,0,0,0,1,1,0
0,24,15,2,,42,3,2,2,0,0,0,0,0,0,0
0,12,15,2,,42,3,2,2,0,0,0,0,0,0,0
0,34,18,2,,42,3,2,2,0,0,0,0,0,0,0
0,7,23,2,,42,3,2,2,0,0,0,0,0,0,0
0,13,1,2,,42,3,2,2,0,0,0,0,1,0,0
0,24,2,2,,42,3,2,2,0,0,0,0,0,0,0
0,6,28,2,,42,3,2,2,0,0,0,0,0,0,0
0,15,6,2,,42,3,2,2,0,0,0,0,0,0,0
0,10,2,2,,42,3,2,2,0,0,0,0,0,0,0
0,33,3,2,,42,3,2,2,0,0,0,0,0,0,0
0,15,7,2,,42,3,2,2,0,0,0,0,0,0,0
0,3,28,2,,42,3,2,2,0,0,0,0,0,0,0
0,30,3,2,,42,3,2,2,0,0,0,0,0,0,0
0,32,6,2,,42,3,2,2,0,0,0,0,1,0,0
0,29,35,2,,42,3,2,2,0,0,0,0,0,0,0
0,36,21,2,,42,3,2,2,0,0,0,0,0,0,0
0,25,23,2,,42,3,2,2,0,0,0,0,0,0,0
1,16,32,3,call,43,4,3,3,1,1,1,1,0,1,0
0,14,13,3,,43,4,3,3,0,0,0,0,1,1,0
0,19,29,3,,43,4,3,3,0,0,0,0,0,0,0
0,32,21,3,,43,4,3,3,1,0,0,0,1,0,0
0,31,22,3,,43,4,3,3,0,0,0,0,0,0,0
0,37,19,3,,43,4,3,3,0,0,0,0,0,0,0
0,34,17,3,,43,4,3,3,0,0,0,0,0,0,0
0,9,10,3,,43,4,3,3,0,0,0,0,0,0,0
0,31,29,3,,43,4,3,3,0,0,0,0,0,0,0
0,30,19,3,,43,4,3,3,0,0,0,0,0,0,0
0,8,29,3,,43,4,3,3,0,0,0,0,0,0,0
0,2,12,3,,43,4,3,3,0,0,0,0,0,0,0
0,6,29,3,,43,4,3,3,0,0,0,0,0,0,0
0,14,9,3,,43,4,3,3,0,0,0,0,1,0,0
0,10,6,3,,43,4,3,3,0,0,0,0,0,0,0
0,23,8,3,,43,4,3,3,0,0,0,0,0,0,0
0,22,8,3,,43,4,3,3,0,0,0,0,0,0,0
0,8,3,3,,43,4,3,3,0,0,0,0,0,0,0
0,8,4,3,,43,4,3,3,0,0,0,0,0,0,0
0,19,17,3,,43,4,3,3,0,0,0,0,0,0,0
1,16,32,4,call,44,5,4,4,2,2,2,1,0,1,0
0,5,4,4,,44,5,4,4,0,0,0,0,0,0,0
0,30,32,4,,44,5,4,4,0,2,0,0,0,1,0
0,31,33,4,,44,5,4,4,0,0,0,0,0,0,0
0,10,13,4,,44,5,4,4,0,0,0,0,0,1,0
0,21,27,4,,44,5,4,4,0,0,0,0,0,0,0
0,32,16,4,,44,5,4,4,1,1,1,2,1,0,0
0,8,27,4,,44,5,4,4,0,0,0,0,0,0,0
0,5,37,4,,44,5,4,4,0,0,0,0,0,0,0
0,7,17,4,,44,5,4,4,0,0,0,0,0,0,0
0,2,15,4,,44,5,4,4,0,0,0,0,0,0,0
0,34,4,4,,44,5,4,4,0,0,0,0,0,0,0
0,34,7,4,,44,5,4,4,0,0,0,0,0,0,0
0,11,7,4,,44,5,4,4,0,0,0,0,0,0,0
0,23,9,4,,44,5,4,4,0,0,0,0,0,0,0
0,29,12,4,,44,5,4,4,0,0,0,0,0,0,0
0,16,33,4,,44,5,4,4,2,0,0,0,0,0,0
0,26,10,4,,44,5,4,4,0,0,0,0,0,0,0
0,27,22,4,,44,5,4,4,0,0,0,0,0,0,0
0,19,25,4,,44,5,4,4,0,0,0,0,0,0,0
0,34,32,4,,44,5,4,4,0,2,0,0,0,1,0
1,11,32,5,call,45,6,5,5,0,3,0,0,0,1,0
0,27,26,5,,45,6,5,5,0,0,0,0,0,0,0
0,10,21,5,,45,6,5,5,0,0,0,0,0,0,0
0,16,29,5,,45,6,5,5,3,0,0,0,0,0,0
0,11,13,5,,45,6,5,5,0,0,0,0,0,1,0
0,11,16,5,,45,6,5,5,0,1,0,0,0,0,0
0,32,29,5,,45,6,5,5,1,0,0,0,1,0,0
0,30,19,5,,45,6,5,5,0,0,0,0,0,0,0
0,5,11,5,,45,6,5,5,0,0,0,0,0,0,0
0,5,24,5,,45,6,5,5,0,0,0,0,0,0,0
0,8,17,5,,45,6,5,5,0,0,0,0,0,0,0
0,9,18,5,,45,6,5,5,0,0,0,0,0,0,0
0,7,28,5,,45,6,5,5,0,0,0,0,0,0,0
0,27,5,5,,45,6,5,5,0,0,0,0,0,0,0
0,22,1,5,,45,6,5,5,0,0,0,0,0,0,0
0,15,8,5,,45,6,5,5,0,0,0,0,0,0,0
0,24,30,5,,45,6,5,5,0,0,0,0,0,0,0
0,7,4,5,,45,6,5,5,0,0,0,0,0,0,0
0,8,6,5,,45,6,5,5,0,0,0,0,0,0,0
0,28,37,5,,45,6,5,5,0,0,0,0,0,0,0
0,23,21,5,,45,6,5,5,0,0,0,0,0,0,0
1,11,32,6,call,46,7,6,6,1,4,1,0,0,1,0
0,21,22,6,,46,7,6,6,0,0,0,0,0,0,0
0,35,26,6,,46,7,6,6,0,0,0,0,0,0,0
0,34,26,6,,46,7,6,6,0,0,0,0,0,0,0
0,20,34,6,,46,7,6,6,0,0,0,0,0,0,0
0,10,24,6,,46,7,6,6,0,0,0,0,0,0,0
0,32,36,6,,46,7,6,6,1,0,0,0,1,0,0
0,22,26,6,,46,7,6,6,0,0,0,0,0,0,0
0,32,37,6,,46,7,6,6,1,0,0,0,1,0,0
0,4,31,6,,46,7,6,6,0,0,0,0,0,0,0
